Symbol,Date,Open,Close,Shortname,Sector,Weight,PcChangeDay
HAL,2020-03-20,5.130000114440918,5.050000190734863,Halliburton Company,Energy,0.0007612359994047,-1.56
HIG,2020-03-20,34.11000061035156,31.270000457763672,Hartford Financial Services Gro,Financial Services,0.0006571264004923,-8.33
HAS,2020-03-20,47.97999954223633,46.11000061035156,"Hasbro, Inc.",Consumer Cyclical,0.0003329111128667,-3.9
HCA,2020-03-20,85.19999694824219,78.5,"HCA Healthcare, Inc.",Healthcare,0.0015732447101464,-7.86
PEAK,2020-03-20,20.549999237060547,20.959999084472656,"Healthpeak Properties, Inc.",Real Estate,0.0004228589148842,2.0
HSIC,2020-03-20,49.70000076293945,45.0099983215332,"Henry Schein, Inc.",Healthcare,0.0003142953188263,-9.44
HSY,2020-03-20,120.13999938964844,117.7300033569336,The Hershey Company,Consumer Defensive,0.0013484312618219,-2.01
HES,2020-03-20,32.029998779296875,30.690000534057617,Hess Corporation,Energy,0.0008710685600369,-4.18
HPE,2020-03-20,9.359999656677246,8.630000114440918,Hewlett Packard Enterprise Comp,Technology,0.0005046079116666,-7.8
HLT,2020-03-20,61.290000915527344,61.59999847412109,Hilton Worldwide Holdings Inc.,Consumer Cyclical,0.0009335504573861,0.51
HOLX,2020-03-20,32.0099983215332,31.049999237060547,"Hologic, Inc.",Healthcare,0.0005284112207072,-3.0
HD,2020-03-20,162.77999877929688,152.14999389648438,"Home Depot, Inc. (The)",Consumer Cyclical,0.0088532342143865,-6.53
HON,2020-03-20,120.88999938964844,112.5,Honeywell International Inc.,Industrials,0.0035538902913502,-6.94
HRL,2020-03-20,47.33000183105469,45.119998931884766,Hormel Foods Corporation,Consumer Defensive,0.0007757007035481,-4.67
HST,2020-03-20,10.5600004196167,10.640000343322754,Host Hotels,Real Estate,0.0003384400531764,0.76
HWM,2020-03-20,15.880000114440918,13.25,Howmet Aerospace Inc.,Industrials,0.0004244239965668,-16.56
HPQ,2020-03-20,14.420000076293944,13.949999809265137,HP Inc.,Technology,0.0010086732210845,-3.26
HUM,2020-03-20,261.010009765625,230.6100006103516,Humana Inc.,Healthcare,0.0018466811661739,-11.65
